theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.01,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,0,0,1of1,127,63.500,0.606,0.0130,0.155,0.261
1.01,0.5,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,1of1,116,58.000,0.586,0.0134,0.156,0.261
1.01,0.6,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,1of1,105,52.500,0.571,0.0139,0.156,0.261
1.01,0.65,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,1of1,97,48.500,0.557,0.0126,0.138,0.298
1.01,0.7,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,1of1,86,43.000,0.570,0.0162,0.179,0.298
1.01,0.75,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,0,0,1of1,121,60.500,0.612,0.0139,0.163,0.261
1.02,0.5,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,1of1,112,56.000,0.598,0.0145,0.167,0.261
1.02,0.6,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,1of1,103,51.500,0.573,0.0141,0.157,0.261
1.02,0.65,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,1of1,95,47.500,0.558,0.0127,0.139,0.298
1.02,0.7,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,1of1,84,42.000,0.571,0.0164,0.180,0.298
1.02,0.75,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,0,0,1of1,99,49.500,0.586,0.0126,0.140,0.366
1.03,0.5,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,1of1,94,47.000,0.585,0.0143,0.156,0.261
1.03,0.6,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,0,0,1of1,88,44.000,0.568,0.0146,0.156,0.261
