r4a_reco,market_bin,above_ma200,prev_rule_ok,n_closed_total,win_rate_pct,mean_delta_w
NO,0-2,<0,NO,209,46.411483253588514,2.6844619607574978
NO,0-2,>0,NO,393,38.42239185750636,-1.7961438117986408
NO,<0,<0,NO,304,38.15789473684211,0.8162859991957543
NO,<0,>0,NO,529,49.33837429111531,1.317083514911193
NO,>2,<0,NO,110,50.90909090909091,0.6958355295945937
NO,>2,>0,NO,152,40.131578947368425,-0.6550994517636587
YES,0-2,<0,NO,137,40.87591240875913,-0.4715848944789959
YES,0-2,>0,NO,380,42.89473684210526,-0.6899375555817974
YES,<0,<0,NO,87,40.229885057471265,-0.16039332687508917
YES,<0,>0,NO,254,47.63779527559055,-0.394642702213187
YES,>2,<0,NO,64,54.6875,0.4136500145662223
YES,>2,>0,NO,194,52.0618556701031,0.2390885810864376
