view,r4a_reco,market_bin,above_ma200,prev_rule_ok,n_closed,pct_win,pct_loss,mean_delta,total_delta
cumulative,YES,<0,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,<0,>0,NO,17.0,47.1,52.9,-1.3,-21.6
cumulative,YES,<0,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,<0,<0,NO,6.0,83.3,16.7,27.6,165.7
cumulative,YES,0-2,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,0-2,>0,NO,143.0,55.2,44.8,0.1,20.3
cumulative,YES,0-2,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,0-2,<0,NO,67.0,47.8,52.2,-0.7,-45.8
cumulative,YES,>2,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,>2,>0,NO,190.0,18.4,81.6,-3.0,-576.7
cumulative,YES,>2,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,YES,>2,<0,NO,242.0,3.7,96.3,-5.8,-1401.1
cumulative,NO,<0,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,<0,>0,NO,129.0,52.7,47.3,3.0,388.2
cumulative,NO,<0,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,<0,<0,NO,32.0,84.4,15.6,28.7,918.9
cumulative,NO,0-2,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,0-2,>0,NO,1271.0,46.8,53.2,-0.1,-136.9
cumulative,NO,0-2,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,0-2,<0,NO,608.0,47.7,52.3,-0.0,-11.2
cumulative,NO,>2,>0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,>2,>0,NO,1804.0,16.1,83.9,-4.9,-8812.9
cumulative,NO,>2,<0,YES,0.0,0.0,100.0,0.0,0.0
cumulative,NO,>2,<0,NO,2079.0,6.1,93.9,-6.0,-12562.8
