month,r4a_reco,market_bin,n_closed,pct_win,pct_loss,avg_win,avg_loss,median_delta,mean_delta,max_dd,open_pending,as_of_cet
2025-11,NO,0-2,469,53.9,46.1,3.409,-2.387,0.0643,0.7396,-120.5621,0,2026-01-29 08:52
2025-11,NO,<0,49,67.3,32.7,16.9494,-3.0577,1.433,10.4164,-25.6339,0,2026-01-29 08:52
2025-11,NO,>2,1145,12.5,87.5,4.4696,-6.2469,-2.2503,-4.9085,-5619.6159,0,2026-01-29 08:52
2025-11,YES,0-2,33,51.5,48.5,4.717,-3.2182,0.0045,0.8696,-38.7366,0,2026-01-29 08:52
2025-11,YES,<0,7,42.9,57.1,31.1798,-3.6668,-0.9644,11.2675,-13.7026,0,2026-01-29 08:52
2025-11,YES,>2,110,17.3,82.7,12.8868,-6.7567,-2.9926,-3.3637,-425.1302,0,2026-01-29 08:52
2025-12,NO,0-2,1194,41.5,58.5,3.2581,-3.2887,-0.175,-0.5746,-823.4551,0,2026-01-29 08:52
2025-12,NO,<0,91,50.5,49.5,19.042,-5.6774,0.0589,6.8181,-36.6505,0,2026-01-29 08:52
2025-12,NO,>2,2271,8.6,91.4,4.6566,-6.6728,-2.4832,-5.695,-12932.237,0,2026-01-29 08:52
2025-12,YES,0-2,145,49.7,50.3,2.7333,-2.766,-0.0226,-0.0353,-130.8984,0,2026-01-29 08:52
2025-12,YES,<0,12,50.0,50.0,8.5692,-5.7761,-0.0347,1.3966,-34.5759,0,2026-01-29 08:52
2025-12,YES,>2,268,6.0,94.0,4.187,-5.5018,-2.939,-4.9234,-1314.4634,0,2026-01-29 08:52
2026-01,NO,0-2,230,60.9,39.1,4.4823,-5.0452,0.3293,0.7542,-74.7151,0,2026-01-29 08:52
2026-01,NO,<0,21,76.2,23.8,11.5211,-1.6065,1.7861,8.3954,-3.6703,0,2026-01-29 08:52
2026-01,NO,>2,561,14.1,85.9,6.9993,-7.2689,-2.1175,-5.2597,-3064.3978,0,2026-01-29 08:52
2026-01,YES,0-2,32,68.8,31.2,1.7698,-8.8025,0.5705,-1.5341,-69.6279,0,2026-01-29 08:52
2026-01,YES,<0,4,100.0,0.0,12.1151,0.0,3.127,12.1151,-0.0,0,2026-01-29 08:52
2026-01,YES,>2,57,15.8,84.2,3.0642,-6.6947,-2.4775,-5.1538,-304.3973,0,2026-01-29 08:52
