date,symbol,r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,f10_T,avg_a_1_10,delta,hit
2026-01-02,ZM,NO,0-2,>0,NO,NO,88.91318320344122,84.49300000000001,-4.420183203441212,0
2026-01-02,RCI,YES,0-2,>0,NO,NO,38.864279019380646,36.37599999999999,-2.4882790193806557,0
2026-01-02,SHOP,NO,0-2,>0,NO,NO,165.7991603307884,164.084,-1.7151603307883931,0
2026-01-02,WMT,NO,0-2,>0,NO,NO,114.6485621656799,116.46400000000001,1.8154378343201074,1
2026-01-02,SNDX,YES,0-2,>0,NO,NO,21.571336327994796,20.888,-0.6833363279947946,0
2026-01-02,CVE,NO,0-2,>0,NO,NO,17.355458841923145,17.032999999999998,-0.32245884192314733,0
2026-01-02,NX,NO,0-2,<0,NO,NO,15.767107347502424,17.259,1.491892652497576,1
2026-01-02,PEP,NO,0-2,>0,NO,NO,147.1053647164331,141.88199999999998,-5.22336471643311,0
2026-01-02,AHL,NO,0-2,<0,NO,NO,38.017853367406865,37.24400000000001,-0.7738533674068577,0
2026-01-02,ITGR,YES,0-2,<0,NO,NO,80.29178211456961,83.05799999999999,2.766217885430379,1
2026-01-02,GOOGL,NO,0-2,>0,NO,NO,320.3923701607911,327.332,6.939629839208919,1
2026-01-02,CRTO,NO,0-2,<0,NO,NO,21.07440612053777,20.588,-0.48640612053776877,0
2026-01-02,BIIB,NO,0-2,>0,NO,NO,179.885661735528,178.4,-1.485661735527998,0
2026-01-02,PAR,NO,0-2,<0,NO,NO,36.98029007476072,37.316,0.33570992523928567,1
2026-01-02,ASIX,YES,0-2,<0,NO,NO,17.628213044237395,17.875999999999998,0.2477869557626029,1
2026-01-02,PRCT,NO,0-2,<0,NO,NO,32.051090220790144,32.322,0.2709097792098589,1
2026-01-02,FSLR,NO,0-2,>0,NO,NO,266.12695631815365,246.98200000000003,-19.144956318153618,0
2026-01-02,MDB,NO,0-2,>0,NO,NO,427.2675053570578,412.41499999999996,-14.85250535705785,0
2026-01-02,IMVT,NO,0-2,>0,NO,NO,25.876737591466803,26.155,0.27826240853319817,1
2026-01-02,GPCR,YES,0-2,>0,NO,NO,70.64138505738003,73.312,2.670614942619963,1
2026-01-02,MD,NO,0-2,>0,NO,NO,21.723764860875225,22.208000000000006,0.484235139124781,1
2026-01-02,PRU,NO,0-2,>0,NO,NO,114.56968460818082,116.88300000000001,2.313315391819188,1
2026-01-02,VERA,NO,0-2,>0,NO,NO,51.39182259011761,47.54299999999999,-3.8488225901176207,0
2026-01-02,AAPL,NO,0-2,>0,NO,NO,275.8651783305027,260.336,-15.529178330502702,0
2026-01-02,STZ,NO,0-2,<0,NO,NO,138.9651907906224,148.8528696154587,9.887678824836314,1
2026-01-02,QUAD,NO,0-2,>0,NO,NO,6.356807749083347,6.142,-0.21480774908334688,0
2026-01-02,FLOC,YES,0-2,>0,NO,NO,18.985699671433785,19.479,0.49330032856621386,1
2026-01-02,TEAD,NO,0-2,<0,NO,NO,0.7129826058316535,0.6578,-0.055182605831653464,0
2026-01-02,NESR,YES,0-2,>0,NO,NO,15.858768273519468,17.481,1.6222317264805337,1
2026-01-02,UTZ,NO,0-2,<0,NO,NO,10.509444770717923,10.079999999999998,-0.4294447707179252,0
2026-01-02,GDYN,NO,0-2,<0,NO,NO,9.136439183505024,9.548,0.4115608164949762,1
2026-01-02,LKQ,NO,0-2,<0,NO,NO,30.53710853795971,32.74,2.2028914620402915,1
2026-01-02,BRZE,NO,0-2,>0,NO,NO,34.67066578308281,29.058000000000003,-5.612665783082807,0
2026-01-02,HBM,YES,0-2,>0,NO,NO,20.06625251980127,21.999,1.9327474801987279,1
2026-01-02,IMXI,NO,0-2,>0,NO,NO,15.526882430437611,15.477,-0.04988243043761109,0
2026-01-02,AHCO,NO,0-2,>0,NO,NO,10.06490547769083,10.447,0.38209452230916874,1
2026-01-02,TX,NO,0-2,>0,NO,NO,38.56287793050904,40.715999999999994,2.153122069490955,1
2026-01-02,SPB,NO,0-2,>0,NO,NO,59.65145878636847,63.04799999999999,3.396541213631515,1
2026-01-02,LW,NO,0-2,<0,NO,NO,42.28109498261932,41.962,-0.319094982619319,0
2026-01-02,CSTM,NO,0-2,>0,NO,NO,19.022081792352505,21.223999999999997,2.2019182076474912,1
2026-01-02,AENT,YES,0-2,>0,NO,NO,8.149016761638704,7.7204999999999995,-0.4285167616387042,0
2026-01-02,KINS,NO,0-2,>0,NO,NO,16.973248123045664,16.544999999999998,-0.42824812304566606,0
2026-01-02,CLS,NO,0-2,>0,NO,NO,298.09552364248185,307.544,9.448476357518132,1
2026-01-02,DOX,NO,0-2,<0,NO,NO,81.18452381708228,83.211,2.026476182917719,1
2026-01-02,LFST,NO,0-2,>0,NO,NO,7.096747115125157,7.306,0.20925288487484295,1
2026-01-02,HTO,NO,0-2,<0,NO,NO,49.35839613656926,51.845000000000006,2.4866038634307444,1
2026-01-02,IBM,NO,0-2,>0,NO,NO,298.2412720829828,302.91,4.668727917017236,1
2026-01-02,CCJ,NO,0-2,>0,NO,NO,92.0942800907922,107.83,15.735719909207802,1
2026-01-02,TWLO,NO,0-2,>0,NO,NO,143.16046090538245,131.106,-12.054460905382456,0
2026-01-02,CVS,NO,0-2,>0,NO,NO,79.2247350403816,79.57398188253644,0.3492468421548409,1
2026-01-02,COP,NO,0-2,>0,NO,NO,94.18391271567118,97.59,3.4060872843288195,1
2026-01-02,ALAB,YES,0-2,>0,NO,NO,167.36580427294805,169.495,2.1291957270519504,1
2026-01-02,SNPS,NO,0-2,<0,NO,NO,472.3558268122728,513.7389999999999,41.383173187727095,1
2026-01-02,CG,NO,0-2,>0,NO,NO,59.42778384470088,65.208,5.780216155299115,1
2026-01-02,SPNT,NO,0-2,>0,NO,NO,21.985396501642832,20.377000000000002,-1.6083965016428294,0
2026-01-02,CHMI,NO,0-2,>0,NO,NO,2.559969087792257,2.618,0.0580309122077427,1
2026-01-02,CWAN,YES,0-2,>0,NO,NO,24.205274043269153,24.130000000000003,-0.07527404326915033,0
2026-01-02,HLF,NO,0-2,>0,NO,NO,12.924048269075094,15.136000000000001,2.2119517309249073,1
2026-01-02,DBRG,YES,0-2,>0,NO,NO,15.360244916747352,15.354,-0.0062449167473523914,0
2026-01-02,TBLA,YES,0-2,>0,NO,NO,4.615828082093936,4.258000000000001,-0.3578280820939348,0
2026-01-02,DDL,YES,0-2,>0,NO,NO,2.493128759860955,2.857,0.36387124013904515,1
2026-01-02,PACS,YES,0-2,>0,NO,NO,38.275892287424014,40.57,2.294107712575986,1
2026-01-02,TSLA,NO,0-2,>0,NO,NO,439.6627260281583,440.8280000000001,1.1652739718417706,1
2026-01-02,ERIE,NO,0-2,<0,NO,NO,240.81167807275472,282.7623198128741,41.95064174011941,1
2026-01-05,ITGR,YES,>2,<0,NO,NO,79.07202588054157,83.601,4.528974119458425,1
2026-01-05,MU,YES,>2,>0,NO,NO,324.5307376867034,343.68199999999996,19.15126231329657,1
2026-01-05,RCI,YES,>2,>0,NO,NO,39.01212825986889,36.251,-2.76112825986889,0
2026-01-05,GE,YES,>2,>0,NO,NO,329.63388188282727,321.48900000000003,-8.144881882827235,0
2026-01-05,PEP,NO,>2,>0,NO,NO,146.15173711528388,142.656,-3.495737115283873,0
2026-01-05,WMT,NO,>2,>0,NO,NO,115.64654453897558,117.06400000000001,1.4174554610244314,1
2026-01-05,TXG,NO,>2,>0,NO,NO,17.03981361406962,20.406000000000002,3.3661863859303836,1
2026-01-05,NX,NO,>2,<0,NO,NO,15.757414088665255,17.512,1.754585911334745,1
2026-01-05,AHL,NO,>2,<0,NO,NO,38.07699306360217,37.259,-0.8179930636021666,0
2026-01-05,GOOGL,NO,>2,>0,NO,NO,321.98174949603975,327.878,5.896250503960232,1
2026-01-05,BIIB,NO,>2,>0,NO,NO,181.23848228599545,177.475,-3.763482285995451,0
2026-01-05,ASIX,NO,>2,<0,NO,NO,17.5506669735401,17.826999999999998,0.27633302645989843,1
2026-01-05,W,YES,>2,>0,NO,NO,108.55476655132458,113.85900000000001,5.304233448675433,1
2026-01-05,IMVT,NO,>2,>0,NO,NO,26.35170727448771,26.272000000000002,-0.07970727448770631,0
2026-01-05,MD,NO,>2,>0,NO,NO,21.649840240631104,22.191,0.5411597593688953,1
2026-01-05,VERA,NO,>2,>0,NO,NO,49.43378430501103,47.319,-2.114784305011028,0
2026-01-05,GPCR,NO,>2,>0,NO,NO,69.25524904366598,76.137,6.881750956334017,1
2026-01-05,BMRN,YES,>2,>0,NO,NO,60.40979309852225,57.56400000000001,-2.8457930985222433,0
