symbol,f10_over_c1_x,f10_over_prev_a1_x,a1_prev,a1_T,pct_change,shares,end_value_usd,pnl_usd,outcome,news_count_7d,sentiment_mean_7d,sentiment_weighted_by_rel_7d,relevance_mean_7d,pos_articles_7d,neg_articles_7d,neutral_articles_7d
NX,1.012056,1.390928,14.625,15.02,2.700855,68.376068,1027.008547,27.008547,win,6,0.10906866666666666,0.11568346533203022,0.07963883333333334,0,0,6
KRO,1.009988,1.267209,4.81,4.77,-0.831601,207.900208,991.683992,-8.316008,loss,1,0.0,0.0,0.985002,0,0,1
ALK,1.007367,1.219276,47.3,48.48,2.494715,21.141649,1024.947146,24.947146,win,4,0.03722675,0.048683756334880104,0.2263855,0,0,4
CAL,1.011334,1.209617,12.47,12.54,0.561347,80.192462,1005.613472,5.613472,win,1,0.038428,0.038428,0.092213,0,0,1
CHMI,1.011929,1.204279,2.42,2.405,-0.619835,413.22314,993.801653,-6.198347,loss,0,,,,0,0,0
MATV,1.008043,1.178931,10.5,10.79,2.761905,95.238095,1027.619048,27.619048,win,0,,,,0,0,0
PFE,1.01155,1.123759,24.52,24.685,0.67292,40.783034,1006.729201,6.729201,win,32,0.14644503125,0.22569514733417695,0.2114461875,0,0,32
CG,1.005195,1.111729,57.14,58.29,2.012601,17.500875,1020.126006,20.126006,win,3,0.18679233333333334,0.21960545986705274,0.14873066666666665,0,0,3
BABA,1.0183,1.054115,167.05,173.495,3.858126,5.986232,1038.581263,38.581263,win,50,0.0789624,0.11422839620968935,0.26575236,0,0,50
KINS,1.014586,1.045437,14.47,14.885,2.868003,69.1085,1028.680028,28.680028,win,0,,,,0,0,0
QCOM,1.019118,1.031786,163.45,167.04,2.19639,6.118079,1021.963903,21.963903,win,17,0.13950170588235294,0.06608339856035957,0.2527918823529412,0,0,17
