date,fc_bin,sent_bucket,wins,losses,win_rate
20250912,<0,Missing,0,0,0.0000
20250912,<0,<0.1,0,0,0.0000
20250912,<0,>=0.1,0,0,0.0000
20250912,0-2,Missing,0,0,0.0000
20250912,0-2,<0.1,0,0,0.0000
20250912,0-2,>=0.1,0,0,0.0000
20250912,>2,Missing,0,0,0.0000
20250912,>2,<0.1,0,0,0.0000
20250912,>2,>=0.1,0,0,0.0000
20250915,<0,Missing,0,0,0.0000
20250915,<0,<0.1,0,0,0.0000
20250915,<0,>=0.1,0,0,0.0000
20250915,0-2,Missing,0,0,0.0000
20250915,0-2,<0.1,0,0,0.0000
20250915,0-2,>=0.1,0,0,0.0000
20250915,>2,Missing,0,0,0.0000
20250915,>2,<0.1,0,0,0.0000
20250915,>2,>=0.1,0,0,0.0000
20250916,<0,Missing,0,0,0.0000
20250916,<0,<0.1,4,9,0.3077
20250916,<0,>=0.1,13,10,0.5652
20250916,0-2,Missing,0,0,0.0000
20250916,0-2,<0.1,4,6,0.4000
20250916,0-2,>=0.1,6,4,0.6000
20250916,>2,Missing,0,0,0.0000
20250916,>2,<0.1,23,20,0.5349
20250916,>2,>=0.1,41,14,0.7455
20250917,<0,Missing,0,0,0.0000
20250917,<0,<0.1,6,7,0.4615
20250917,<0,>=0.1,10,13,0.4348
20250917,0-2,Missing,0,0,0.0000
20250917,0-2,<0.1,5,5,0.5000
20250917,0-2,>=0.1,2,8,0.2000
20250917,>2,Missing,0,0,0.0000
20250917,>2,<0.1,20,23,0.4651
20250917,>2,>=0.1,16,39,0.2909
20250918,<0,Missing,0,0,0.0000
20250918,<0,<0.1,5,11,0.3125
20250918,<0,>=0.1,11,17,0.3929
20250918,0-2,Missing,0,0,0.0000
20250918,0-2,<0.1,5,5,0.5000
20250918,0-2,>=0.1,5,5,0.5000
20250918,>2,Missing,0,0,0.0000
20250918,>2,<0.1,14,32,0.3043
20250918,>2,>=0.1,31,28,0.5254
20250919,<0,Missing,0,0,0.0000
20250919,<0,<0.1,5,9,0.3571
20250919,<0,>=0.1,17,10,0.6296
20250919,0-2,Missing,0,0,0.0000
20250919,0-2,<0.1,5,5,0.5000
20250919,0-2,>=0.1,7,1,0.8750
20250919,>2,Missing,0,0,0.0000
20250919,>2,<0.1,16,29,0.3556
20250919,>2,>=0.1,31,27,0.5345
20250920,<0,Missing,0,0,0.0000
20250920,<0,<0.1,0,11,0.0000
20250920,<0,>=0.1,0,21,0.0000
20250920,0-2,Missing,0,0,0.0000
20250920,0-2,<0.1,0,10,0.0000
20250920,0-2,>=0.1,0,8,0.0000
20250920,>2,Missing,0,0,0.0000
20250920,>2,<0.1,0,35,0.0000
20250920,>2,>=0.1,0,43,0.0000
20250922,<0,Missing,0,0,0.0000
20250922,<0,<0.1,0,0,0.0000
20250922,<0,>=0.1,0,0,0.0000
20250922,0-2,Missing,0,0,0.0000
20250922,0-2,<0.1,0,0,0.0000
20250922,0-2,>=0.1,0,0,0.0000
20250922,>2,Missing,0,0,0.0000
20250922,>2,<0.1,0,0,0.0000
20250922,>2,>=0.1,0,0,0.0000
20250923,<0,Missing,0,0,0.0000
20250923,<0,<0.1,11,17,0.3929
20250923,<0,>=0.1,19,29,0.3958
20250923,0-2,Missing,0,0,0.0000
20250923,0-2,<0.1,2,8,0.2000
