symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,f10_date,a1_prev_date
NVDA,1.04884203,1.05261973,187.04,177.69,20250929,20250926
WSR,1.04796163,1.04963971,13.11,12.49,20250929,20250926
KO,1.04671333,1.04798903,68.79,65.64,20250929,20250926
SBUX,1.04469742,1.04544909,87.18,83.39,20250929,20250926
MU,1.04352523,1.0442551,164.23,157.27,20250929,20250926
MDLZ,1.04195584,1.04261364,66.06,63.36,20250929,20250926
META,1.04064549,1.04133109,774.49,743.75,20250929,20250926
DDOG,1.03937913,1.05885798,144.64,136.6,20250929,20250926
SHOP,1.03826422,1.03893048,145.71,140.25,20250929,20250926
INSW,1.03809524,1.03875476,49.05,47.22,20250929,20250926
SNPS,1.03776175,1.03840003,506.49,487.76,20250929,20250926
NKE,1.03662581,1.03827267,71.89,69.24,20250929,20250926
BA,1.03613533,1.03683782,229.39,221.24,20250929,20250926
MA,1.03574081,1.03636396,585.67,565.12,20250929,20250926
WDAY,1.03549289,1.03608059,255.57,246.67,20250929,20250926
CVNA,1.03220743,1.03234713,381.38,369.43,20250929,20250926
SMP,1.03135634,1.03210898,42.43,41.11,20250929,20250926
IMXI,1.03094233,1.03239437,14.66,14.2,20250929,20250926
NFLX,1.02950817,1.0300014,1246.93,1210.61,20250929,20250926
RCI,1.02746637,1.02804262,36.66,35.66,20250929,20250926
AHL,1.02672484,1.02700491,37.65,36.66,20250929,20250926
XPO,1.02624901,1.02624901,129.41,126.1,20250929,20250926
AVGO,1.0260854,1.02651481,343.4,334.53,20250929,20250926
MDB,1.02342009,1.02380578,325.99,318.41,20250929,20250926
TCOM,1.02317314,1.02357745,77.71,75.92,20250929,20250926
WMT,1.02306202,1.02365717,105.58,103.14,20250929,20250926
ZM,1.02282943,1.02319252,86.47,84.51,20250929,20250926
PEP,1.02128265,1.02164625,143.48,140.44,20250929,20250926
UHS,1.02075453,1.02111028,205.09,200.85,20250929,20250926
MPAA,1.02045728,1.02107164,16.96,16.61,20250929,20250926
UBER,1.02051178,1.02082275,100.5,98.45,20250929,20250926
XOM,1.0161194,1.01637946,119.14,117.22,20250929,20250926
HAL,1.01512739,1.03406326,25.5,24.66,20250929,20250926
CVX,1.01441948,1.01473618,162.51,160.15,20250929,20250926
WELL,1.01366183,1.01418359,177.33,174.85,20250929,20250926
QCOM,1.01299929,1.01323877,171.44,169.2,20250929,20250926
HLF,1.01352875,1.01238739,8.99,8.88,20250929,20250926
BABA,1.01139933,1.01169352,173.9,171.89,20250929,20250926
