symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x,a1_T,a1_over_prev_pct
MTDR,0.9996893089559412,49.05622803606292,20250930,45.62,20250929,1.075322841649779,45.63,0.02192021043403436
BA,1.0361287319968966,229.38750797606383,20250930,217.06,20250929,1.0567930893580757,217.08,0.009214042200311745
HLF,1.0128078552627104,8.98546181806638,20250930,8.51,20250929,1.0558709539443454,8.445,-0.763807285546414
INSW,1.038060162906702,49.04730877287662,20250930,46.5,20250929,1.0547808338253035,46.08,-0.903225806451613
MDLZ,1.0419213525009832,66.06080252694402,20250930,62.63,20250929,1.0547789003184418,62.63,0.0
SMP,1.0312822056322095,42.42773059157791,20250930,40.24,20250929,1.054367062414958,40.8,1.391650099403563
SNPS,1.0377622786032468,506.4874048824622,20250930,481.61,20250929,1.0516546684712988,481.61,0.0
WSR,1.0479835030199558,13.109939604133269,20250930,12.5,20250929,1.048795168330661,12.27,-1.8400000000000083
AVGO,1.0260917657133846,343.40298971444895,20250930,327.9,20250929,1.0472796270644982,329.91,0.612991765782267
CAL,0.9996133345098406,13.666028515420392,20250930,13.06,20250929,1.0464034085314236,13.025,-0.2679938744257315
MPAA,1.0206648528771856,16.95889549372232,20250930,16.24,20250929,1.0442669638991575,16.24,0.0
DVN,0.9997696888918964,37.01585534356598,20250930,35.52,20250929,1.0421130445823754,35.06,-1.2950450450450512
META,1.0406423637449516,774.4854339613657,20250930,743.4,20250929,1.0418152192108767,743.4,0.0
KO,1.046720626164321,68.78997912731543,20250930,66.06,20250929,1.0413257512460707,66.04,-0.03027550711474092
CVX,1.0144328667792686,162.50939699369854,20250930,156.08,20250929,1.0411929586987347,156.1,0.012813941568423637
QCOM,1.0130344200379022,171.44146529420166,20250930,165.3,20250929,1.0371534500556665,,
MA,1.035756229416248,585.6746734972461,20250930,565.13,20250929,1.0363538893657145,568.14,0.5326208129103005
WDAY,1.035489972053912,255.57060014920395,20250930,246.67,20250929,1.036083026509928,247.69,0.4135079255685792
NFLX,1.0295134127369892,1246.9327819399691,20250930,1206.41,20250929,1.0335895607131649,1206.41,0.0
NKE,1.036544946291766,71.8853005507849,20250930,69.55,20250929,1.033577290449819,69.55,0.0
IMXI,1.0311009011453136,14.65929707464961,20250930,14.21,20250929,1.031618372600254,13.97,-1.688951442646025
BHVN,0.9978710080680018,15.097669084617705,20250930,14.66,20250929,1.0298546442440453,14.66,0.0
RCI,1.0276267579645404,36.66150576974968,20250930,35.62,20250929,1.0292393534460889,35.61,-0.028074115665355226
MNKD,0.9991027298273866,5.545099760321265,20250930,5.39,20250929,1.028775465736784,5.39,0.0
NVDA,1.0488414620119506,187.04039935874033,20250930,181.85,20250929,1.028542201587794,,
MDB,1.0234123125190553,325.98780932048703,20250930,317.0,20250929,1.02835271079018,317.0,0.0
COP,0.99982203668731,98.5331787193854,20250930,95.87,20250929,1.0277790624740315,94.57,-1.3560029206216906
AHL,1.0267461370020747,37.64648569070332,20250930,36.63,20250929,1.0277500871062877,36.7,0.19110019110020193
XPO,1.0261900899997896,129.40592284249456,20250930,126.05,20250929,1.026623743296268,129.305,2.5823086076953716
SPNT,0.999622494836076,18.341001849176997,20250930,17.88,20250929,1.025783101184396,18.09,1.1744966442952975
PEP,1.0213281154307985,143.48467794161996,20250930,140.17,20250929,1.0236475561219949,,
WMT,1.02312254970802,105.58469817939395,20250930,103.16,20250929,1.0235042475707057,103.04,-0.11632415664984963
ZM,1.0227615490215876,86.46532078855891,20250930,84.51,20250929,1.0231371528642634,82.5,-2.3784167554135704
HRTG,0.999736368701134,24.879893335026427,20250930,24.35,20250929,1.0217615332659724,24.36,0.041067761806967695
UHS,1.0207778796523643,205.09196679417784,20250930,200.85,20250929,1.0211200736578434,204.41,1.7724670151854527
UBER,1.0205175625040492,100.50321232996302,20250930,98.45,20250929,1.0208553817162318,97.93,-0.5281868969019721
TCOM,1.023190108780455,77.7096581800289,20250930,76.14,20250929,1.02061542132951,75.2,-1.2345679012345623
CSTM,0.9997907013366604,15.339736948619862,20250930,15.03,20250929,1.0206079140798312,15.03,0.0
