symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x
GPCR,1.0293367829099302,1.0338642243773908,36.18524785320868,35.0,36.82,0.9827606695602574
KO,1.0291069281813567,1.0295719095022329,73.17167560832368,71.07,71.16,1.0282697527870108
WMT,1.0282588181282049,1.0287098729709236,105.48391037443851,102.54,102.48,1.029312162123717
AHL,1.0261818229339648,1.026598868117769,37.840434278820965,36.86,36.9,1.0254860238162864
ZM,1.0257766516021056,1.0261870781936697,86.24076205139602,84.04,84.22,1.0239938500521968
KOP,1.0209214304942391,1.0241197287281456,30.0988788273202,29.39,28.94,1.0400441889191498
IMCR,1.020754797162219,1.0239270248309849,36.216298868271934,35.37,35.95,1.0074074789505405
CHA,1.0204254590213508,1.023546188479001,15.680727607498294,15.32,14.72,1.0652668211615688
IMVT,1.0182542138951676,1.0210363680912595,23.300049919842543,22.82,23.74,0.9814679831441678
ARDT,1.0180887816661508,1.0208452059047364,9.49386041491405,9.3,9.01,1.053702598769595
CRTO,1.0177503401545145,1.0204541554988023,21.99078705099919,21.55,20.77,1.0587764588829653
FLOC,1.0174135211439705,1.0200650191329703,16.49607558836119,16.1715922798553,16.5,0.9997621568703752
PAR,1.017356719284966,1.019999398232164,39.861576482912966,39.08,38.9,1.024719189792107
QUAD,1.0163337629679998,1.0188178089259194,5.746132442342185,5.64,5.58,1.0297728391294239
BRZE,1.015697113144359,1.0180826144558928,28.720110553800737,28.21,28.74,0.9993079524634912
AENT,1.0151940196194202,1.017501748029835,6.7765616418787005,6.66,6.38,1.062156997159671
ENOV,1.0148725293889607,1.0171306046237087,31.398821764733892,30.87,29.99,1.0469763842858917
FI,1.0147044667701874,1.0169365994606265,65.62291876319424,64.53,63.42,1.0347353951938543
MPAA,1.0143093751807133,1.0164805590180048,13.224412072824242,13.01,13.09,1.0102683019728222
IDYA,1.0142791254209835,1.0164456449969452,32.343300423802795,31.82,32.14,1.0063254643373614
PEP,1.0158074150576204,1.0160566226189476,147.3485314121998,145.02,145.85,1.0102744697442565
CPRX,1.013699565401763,1.0157767826586015,23.383181536801004,23.02,23.18,1.0087653812252375
TXO,1.0134715504616953,1.0155136655023902,13.710967610592492,13.501509705248,13.56,1.0111333046159654
IMXI,1.0151205458907746,1.0153587610739447,15.342070879827304,15.11,15.1,1.0160311840945235
CWAN,1.013220963454224,1.0152245220759033,19.370483881208234,19.08,19.25,1.0062589029199083
GDYN,1.0120163634952857,1.0138348795331114,8.384414453738831,8.27,8.18,1.024989542021862
AHCO,1.0113091302382198,1.013019239065822,9.45146950048412,9.33,9.19,1.0284515234476737
KNF,1.0102116507751564,1.0117538755680053,71.84464270408407,71.01,69.62,1.0319540750371166
ARCO,1.0101435873334872,1.0116754139743511,7.415580784431993,7.33,7.29,1.0172264450523996
VCEL,1.0097600536927205,1.0112333171832741,40.28753535658164,39.84,39.86,1.010725924650819
LFST,1.009250476027793,1.0106460086627056,6.377176314661671,6.31,6.4,0.9964337991658861
CCJ,1.0090334889800008,1.0103959496221437,86.87384374851193,85.98,84.76,1.0249391664524767
SLP,1.0089467177500717,1.0102959577305899,17.397296392120758,17.22,17.31,1.0050431191288711
BWMX,1.0088848848637282,1.0102247054279563,14.395702052348376,14.25,14.1,1.0209717767622961
DAR,1.0088669490061217,1.010204037527871,34.98336581959017,34.63,34.75,1.006715563153674
LKQ,1.0086301449867494,1.0099311732147134,31.661342280281268,31.35,30.55,1.0363778160484867
UPWK,1.0082082750030499,1.0094451091196663,17.21103911049031,17.05,16.48,1.0443591693258685
DVN,1.007805960580695,1.008981633363941,35.35471643307249,35.04,35.84,0.9864597219049243
SPB,1.0077681551994737,1.0089380835328101,58.93207345915144,58.41,57.12,1.0317239751252003
CHE,1.007665334841821,1.0088196423224665,449.9436486722433,446.01,435.56,1.0330233462031484
CLS,1.007417584145032,1.0085342673657423,295.2484067713211,292.75,310.88,0.9497182410297256
COP,1.007063527973914,1.0081264796998977,90.14666981476485,89.42,91.37,0.9866112489303365
AAPL,1.0076377474001645,1.0077571747066394,275.0673208361772,272.95,272.41,1.009754857883988
MATV,1.006691117244961,1.0076975985519032,13.291531324899603,13.19,12.75,1.042473045090165
SLB,1.0066530358183876,1.007653745346512,36.58790749353185,36.31,36.94,0.990468529873629
MRVL,1.0074804253298915,1.0075973741290547,88.18492218377486,87.52,86.45,1.020068504150085
MAX,1.0065980813269149,1.0075904626043088,12.866930207457024,12.77,12.42,1.0359847187968618
ITGR,1.006586607849264,1.0075772504736493,68.56563189473184,68.05,69.49,0.9866978255106036
SPNT,1.0065497415395432,1.0075347978714235,20.22122339327947,20.07,20.33,0.994649453678282
NESR,1.0065467013112257,1.007531296983083,14.07521221885367,13.97,13.75,1.0236517977348123
DIS,1.006328593890008,1.0072801498921105,108.39341692989001,107.61,105.8,1.0245124473524576
CTRA,1.0063153690882223,1.0072649222777583,26.027725591657276,25.84,26.34,0.9881444795617796
HQY,1.0055828189662004,1.0064215260521907,100.13894184219298,99.5,101.77,0.9839730946466835
SLVM,1.0049024160427698,1.005638333040556,46.721956953064236,46.46,44.85,1.0417381706368838
HRTG,1.004030506339499,1.0046349345616998,30.982941381882824,30.84,31.14,0.9949563706449205
DHR,1.0039794237911677,1.0045761565884614,222.21224583736765,221.2,221.21,1.0045307438061917
ZBH,1.0037787371303148,1.0043452457979687,90.96354891192202,90.57,89.91,1.011717816838194
NRDS,1.0035942040253842,1.004132933562458,14.308894303265028,14.25,13.98,1.0235260588887716
DDOG,1.0035774288748944,1.0041136337050043,186.73501246011966,185.97,185.01,1.0093238876823938
TWLO,1.0030230342811102,1.003475855583421,124.42097133378834,123.99,125.36,0.9925093437602771
HAL,1.0029028406019371,1.0033375981448769,27.110181901874576,27.02,27.3,0.9930469561126218
SBUX,1.0025984217814548,1.0029874507996583,86.0688101200356,85.8124496487119,84.78,1.0152018178819957
XPO,1.0025897874864136,1.0029775199611195,135.87336462913285,135.47,133.75,1.0158756233953858
RCI,1.0022801869583635,1.0026214461024254,38.48061110141109,38.38,38.37,1.0028827495806905
PRU,1.0021226526803908,1.0024402774011645,108.11318391771559,107.85,107.16,1.008894960038406
UHS,1.0020987048901422,1.002412737537818,228.11906668148126,227.57,225.04,1.0136823083962019
TBLA,1.0020426346068798,1.0023482577059422,4.189815717210838,4.18,4.01,1.0448418247408573
INSW,1.002031393806543,1.0023353311147263,53.71515039443818,53.59,53.98,0.9950935604749571
W,1.001881735303284,1.002163232353196,106.72036261329184,106.49,101.94,1.0468938847684113
BIIB,1.0018416953242866,1.0021171899602233,165.07876470214757,164.73,167.55,0.9852507591891827
FSLR,1.0013571636616223,1.0015600655423222,256.99029721750446,256.59,253.08,1.015450834587895
MDB,1.0013337049865552,1.00153309432358,351.67833074078186,351.14,352.61,0.9973577911595867
WELL,1.0007947264512256,1.000913464812138,191.2445357216552,191.07,193.82,0.9867120819402292
AII,1.000215235443767,1.000247371905515,24.806134823256773,24.8,24.96,0.9938355297779156
MD,1.000047176075274,1.0000542184998389,22.631226964651354,22.63,23.15,0.9775907976091298
TXG,1.0000163241513778,1.0000187609273907,16.35030674116284,16.35,15.89,1.0289683285816764
HLF,0.9997169546107135,0.9996747177488455,9.426932588371614,9.43,9.23,1.0213361417520708
CVE,0.9988771231287767,0.9987097258994447,17.8069944127871,17.83,18.13,0.9821839168663595
ASML,0.9982426003440336,0.998215381025866,1018.0399384930398,1019.86,1006.98,1.010983275231921
IBM,0.9984439008053576,0.9982120348803898,304.31492095363564,304.86,305.69,0.9955017205457674
TX,0.9974548250379104,0.9974154359272809,36.22612863287884,36.32,36.33,0.9971408927299433
TSLA,0.9937460642741214,0.9936496438267114,399.4372203218997,401.99,404.35,0.987850180096203
MU,0.9739494800442177,0.9735559664260931,230.68408624466275,236.95,246.83,0.9345869069588897
ERIE,0.8456839965960107,0.8436639429498265,242.28341113633118,287.18,286.58,0.8454302852129639
