symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
MNMD,1.0220483371388351,1.070471573433995,14.376433231218552,13.43,0.35,True
PMTS,1.0218207270706083,1.047431303508469,15.910481500293645,15.19,-0.2,False
CRTO,1.0202669225385819,1.0401978577212603,20.866369025888478,20.06,0.09,False
BMRN,1.0127923388233024,1.0312598413247072,62.040592054094375,60.16,0.37,True
BILL,1.0288893473736476,1.0282325019525613,56.789281082839956,55.23,0.08,False
SNDX,1.0203674631203867,1.028217457012734,22.209497071475056,21.6,0.17,False
FLOC,1.0124721347055712,1.025618768695971,18.481650211901396,18.02,,
AHL,1.0247318808505625,1.0251252647040432,37.9808910572848,37.05,0.24,True
GPCR,1.000879694028435,1.0239931722380125,71.36208417326709,69.69,0.22,True
CDE,1.0024737532005596,1.0226652342853872,19.14429318582245,18.72,0.33,True
CRNX,1.0160508502391798,1.0218365728951502,49.773659465722766,48.71,0.04,False
UHS,1.0205558087496667,1.0217355958938241,232.0157191155696,227.08,0.31,True
PAR,1.019709320873357,1.0191461035550209,37.93261797431788,37.22,0.06,False
HRTG,1.004711896673007,1.0185860658090335,30.33349303979302,29.78,0.32,True
PEP,1.0183482351318076,1.018213033956648,146.35794150092858,143.74,0.15,False
MNKD,1.0157608236170697,1.0181561801275512,6.037666148156378,5.93,0.02,False
CBZ,1.020007430919716,1.0176075518276044,53.43457254646751,52.51,0.36,True
COP,1.005860750628817,1.0169405064255475,93.35513848986525,91.8,0.18,False
UIS,1.0236301776115813,1.0162865007904465,2.8557650672211548,2.81,0.45,True
CSTM,1.0014615775167917,1.0159898318570404,19.202207822098064,18.9,0.22,True
MRVL,1.000727444102519,1.0146064416454903,87.75331113791844,86.49,0.39,True
NX,1.0226266224957148,1.014028470057047,15.52477587657339,15.31,-0.31,False
SLP,1.0050635517860593,1.0136899899250154,19.442574006761795,19.18,0.27,True
FINV,1.0283224345956379,1.0136701621532915,5.504228980492373,5.43,0.29,True
TNC,1.012266545223541,1.0134506879756475,76.38377835272456,75.37,,
PRCT,1.0157712561520056,1.0132136366661,33.31446437358137,32.88,0.26,True
AXON,1.0104898611726296,1.0118520395051036,598.156333153442,591.15,0.1,False
SLB,1.0050058816754945,1.011849708026214,38.419933413755345,37.97,0.33,True
IMXI,1.009829398960961,1.0116246175209407,15.563844740559674,15.385,0.07,False
FI,1.012761016419953,1.0112592837711363,68.7150683322487,67.95,-0.02,False
