symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
DDOG,1.008479495825673,1.3199192265243764,161.5713125188489,122.41,120.86,1.3368468684333024,0.18,False,-0.107645190395114,-0.0173156811740497
CHA,1.0214575837666349,1.2930008472956203,15.36085006587197,11.88,,,,,,0.4608587071366823
ENOV,1.0156932648678907,1.2697662230945288,30.817226234504215,24.27,24.26,1.2702896221972058,-0.16,False,-0.2110646074997642,-0.010102174080048818
HQY,1.00384219800725,1.2341672063282783,105.64471286170061,85.6,86.94,1.215145075473897,0.19,False,-0.08187996008173737,0.15875669289359254
UHS,1.0002015688504506,1.2232026923700547,243.6864403739623,199.22,204.19,1.1934298465838793,0.29,True,0.04991019794501628,0.14806050243595942
IMCR,1.0158144434846696,1.2139938052526276,40.219614768019554,33.13,32.75,1.2280798402448718,0.39,True,-0.020859431291239683,0.22857094052133514
AVGO,0.9994044944873282,1.1847487119203508,402.684239694608,339.89,343.02,1.1739380785219755,0.15,False,0.1579238387089259,0.4702589827267377
NRDS,1.002062020738672,1.1636180955057454,15.045581974889286,12.93,13.25,1.1355156207463613,,,0.16505025103535598,0.2685477328044715
FSLR,0.9996792189498487,1.1538142901187942,272.8193888985889,236.45,243.64,1.1197643609365824,0.1,False,0.2157903036182287,0.24002065349601995
HRTG,1.0059207811123279,1.1249172326934982,29.247848050030953,26.0,25.85,1.1314447988406557,-0.21,False,0.08327606148482158,0.16094848888044128
AII,1.0048698539176626,1.1188632678345123,21.258402088855732,19.0,19.03,1.1170994266345629,0.12,False,,-0.005863220063339922
CLS,1.0023077807426533,1.1138039669852162,345.32378192409647,310.04,313.53,1.1014058684148136,0.18,False,0.49850880379299123,0.743795868657471
RCI,1.0166673430047077,1.102308524405632,39.78231464579927,36.09,35.58,1.1181088995446675,0.03,False,0.09650001386804385,0.016573570483609388
WELL,0.9985307122951285,1.101523367216294,207.86847462738686,188.71,188.18,1.1046257552736043,0.27,True,0.12588249371784155,0.709884442376301
MRVL,1.0002000201485761,1.1011027171273267,89.4205516579102,81.21,80.38,1.112472650633369,0.24,True,0.07112921645525261,0.05573789651041598
ZBH,1.0016088988760152,1.0948046145646475,97.70036380374914,89.24,88.75,1.1008491696197087,0.13,False,-0.07684402356622178,0.211284291056493
MD,0.9984263687330718,1.0920273730643464,24.046442754876907,22.02,22.67,1.060716486761222,,,0.3565346433935508,0.9448818897637798
VCEL,1.0093896766306791,1.089872996756101,40.68495896890525,37.33,38.57,1.0548343004642273,0.59,True,0.01370086231592671,0.6955522881823194
BIIB,0.9991218937321573,1.0743976259137655,181.90626204345963,169.31,168.57,1.0791140893602635,0.16,False,0.17759077655185318,0.10881463859624035
DDI,1.026527256983744,1.0708663549416448,9.59496254027714,8.96,8.9,1.0780856786828246,0.27,True,-0.05443882537928679,0.6683633516053257
CTRA,1.0050875294897514,1.0645525029721374,26.997051475373404,25.36,25.73,1.0492441304070503,0.09,False,0.045480217953979274,0.5400000000000003
TWLO,1.0017179796960844,1.0562149790373918,129.9461288709703,123.03,119.78,1.0848733417179022,-0.07,False,0.03905882679519146,-0.16955997029335318
ZM,1.0227192528936218,1.0502763237994435,86.92086855764194,82.76,81.52,1.0662520676845184,0.02,False,0.01768972447973227,-0.03109490974570778
KO,1.0210979338974875,1.045452552118256,74.6871303233282,71.44,70.48,1.059692541477415,0.18,False,0.020714065376098656,0.6510511099132654
SPNT,1.0053850054328142,1.0376217792955997,20.92883128839225,20.17,20.4,1.025923102372169,0.28,True,0.06657743665889382,0.24635568513119466
ARDT,1.0207283702313363,1.0345006853143452,8.98981095538166,8.69,8.9,1.010091118582209,-0.53,False,-0.27769707102104413,0.4524886877828063
SHOP,1.026646804200968,1.0344398136359148,162.93461504579292,157.51,157.99,1.0312970127589904,0.38,True,0.1792137728944292,0.04877702606803294
KOP,1.0204742715883455,1.0344104248896702,30.370290074760717,29.36,29.24,1.038655611311926,0.06,False,0.009003040122018913,0.9667770013485341
ZTS,1.0088274286518315,1.028942436715275,129.48211623625022,125.84,125.28,1.033541796266365,0.24,True,-0.13582120438711454,0.4718887607464885
PEP,1.0089927635513474,1.028635740716017,150.0985272852812,145.92,146.57,1.0240740075409784,0.14,False,0.05200977865949663,0.7125563063063066
AAPL,1.0205350336744465,1.0219991308861884,265.67889406517355,259.96,258.21,1.0289256576630401,0.11,False,0.11413922951653421,0.21124894369374875
AHL,1.0247318808505625,1.019074082567341,37.9808910572848,37.27,37.32,1.0177087635928403,0.41,True,,0.9639737991266438
CON,1.0102009177029903,1.018179407496527,20.801405295154044,20.43,21.58,0.963920541944117,0.47,True,0.03949402941218949,1.3221510114159822
CVS,1.0036912624565804,1.0172834510661366,80.7010961730766,79.33,81.36,0.9919013787251304,0.2,False,0.14921909319607485,0.9183816651075762
BMRN,1.0164564381569863,1.0162340263896814,56.99040419993334,56.08,55.07,1.0348720573803039,0.19,False,-0.032023890922960874,0.20512289919746632
ARCO,1.008884884863728,1.0036132871987156,7.667605514198187,7.64,7.59,1.010224705427956,0.3,True,0.05482593287471338,0.5927011439916803
CWT,1.0044855355463758,0.9985558026548261,45.60404350724591,45.67,46.23,0.9864599504054924,-0.09,False,0.006154890831214788,1.2049549549549534
FANG,1.004471301285271,0.9976884400867844,153.37464389454135,153.73,150.82,1.016938362913018,0.08,False,0.06397087871776042,0.6795642434692923
IBM,0.9981407466013894,0.9964107473095158,307.92081324105965,309.03,297.95,1.03346471972163,0.3,True,0.09371960105572663,0.28353935891261234
IMXI,1.0128022463205202,0.996011153944817,15.438172886144663,15.5,15.5,0.996011153944817,0.23,True,0.1848975254752967,0.8469520103761378
AMZN,1.006837761314322,0.9932584783221559,235.0546188949382,236.65,238.18,0.9868780707655478,0.13,False,0.08763751869962055,0.6169389658388313
ATR,1.0078384421065842,0.9923147543184256,125.87512658529229,126.85,125.11,1.0061156309271224,0.43,True,-0.09473548635446338,0.8606384067114545
TSLA,0.967521394655273,0.9885237123191355,434.1596144505643,439.2,438.57,0.9899437135475848,0.03,False,0.2190767481258078,0.3962261705739794
UPWK,1.003459536473355,0.9859963053575473,19.818525737686702,20.1,20.15,0.9835496644013252,0.35,True,0.25159943848839084,0.3568033273915621
DVN,1.005929071486735,0.9839861476313048,37.31275471817908,37.92,36.32,1.0273335550159437,0.1,False,0.08833752846697829,0.503142989479256
GOOGL,0.9894600864782594,0.9775742415354026,328.3085332772496,335.84,332.78,0.9865632949012849,0.3,True,0.4733310040147449,0.8304289386186249
SBUX,1.0208036868927701,0.9758740736233121,88.95092181076491,91.15,93.28,0.9535904996865878,0.13,False,0.08371110641234458,1.0625908241644184
IDYA,1.0099209989706082,0.9729067994038373,36.026738781924095,37.03,36.06,0.9990776145846948,0.29,True,0.40318381863674047,0.6291411524572156
CVE,0.9988341621555047,0.9688253226126334,17.836074189298582,18.41,18.09,0.9859631945438686,0.34,True,0.18851301188513014,1.002209806537691
W,1.000770743158093,0.9676977065629003,110.89815717210837,114.6,118.25,0.9378279676288234,0.18,False,0.6555781432883632,0.925517709716309
TBLA,1.0027463790518745,0.9630313244327589,4.092883128839225,4.25,4.2,0.9744959830569583,0.08,False,0.19152316377769574,0.3936170212765962
INSW,1.022774991220419,0.9598927178272442,54.19554284852621,56.46,55.78,0.9715945293747975,0.39,True,0.318479753606437,0.8842707368798353
DHR,1.0032255440180795,0.9565920750935225,227.62108426850367,237.95,239.89,0.9488560768206414,0.23,True,0.16798108561039893,0.8810804362306013
KNF,1.008327602001568,0.9562987069828737,75.55716083871685,79.01,80.24,0.9416395917088343,,,-0.0056520699265516505,0.9483721742166352
MATV,1.008558077343382,0.9548072071384036,12.613003206298313,13.21,13.11,0.9620902521966677,0.17,False,0.4158278975333707,0.8244924304659071
SNDX,1.0248068449449905,0.9508938624108548,20.38716441008873,21.44,20.67,0.9863166139375291,0.15,False,0.4524323146866416,0.3438546150167388
QUAD,1.015587094182649,0.9500918749128128,5.843065030713799,6.15,6.42,0.910134739986573,,,0.12084919166172003,0.7079806529625148
CHMI,1.0041242346225732,0.947655126806549,2.5018095347692895,2.64,,,,,0.08381502890173409,0.9804504887377818
XPO,1.0012322577715995,0.9473975905888531,142.26122220282218,150.16,154.42,0.9212616384070859,0.12,False,0.21366834834372228,1.0869562903191454
SPB,1.0072234756852607,0.9351967462079169,59.8432397898446,63.99,63.47,0.9428586700779046,0.36,True,0.1203665948234014,0.7793431120687274
KRO,1.0088323808943154,0.93288388257867,5.121532515356899,5.49,5.53,0.926136078726383,-0.62,False,-0.042855164774300625,0.978257849402612
SLGN,1.0072370011540521,0.9323548749991704,39.97005349121443,42.87,42.75,0.934972011490396,0.08,False,-0.08254518062592953,0.8732427783379801
