symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
CVNA,1.004097561316088,1.160113403188899,475.68129870954425,410.03,427.77,1.1120024749504274,,,0.34423530460035456,0.7799335443615332,1.0590452604571066,1.1599336387082062,True,-0.0004060854809937453,<0,True,True,-0.000994041799924239
UPWK,1.0238248684251956,1.0921175138490637,22.3993302090443,20.51,21.02,1.0656198957680447,0.51,True,0.3280623770312614,1.0009791122715408,1.0932635482853457,1.0911525121017054,True,-0.0004060854809937453,<0,True,True,-0.0730369020600129
DHR,1.0285594936781741,1.084836124471999,243.57825502769796,224.53,219.46,1.1098981820272393,0.23,True,0.1411065421642026,0.5896196340035977,1.037269026399056,1.083692353378443,True,-0.0004060854809937453,<0,False,False,0.016541125098269438
SLP,1.0042708691963398,1.0847434597119732,20.20877065443406,18.63,17.71,1.1410937693074001,-0.33,False,0.022961960668613113,0.6780018381359134,1.0389312214705324,1.0799595850292076,True,-0.0004060854809937453,<0,True,True,-0.055930131657597415
KNF,1.0087887014015813,1.068152916632347,73.61709901430135,68.92,69.62,1.0574130855257302,0.74,True,-0.08936084076684625,0.3358901069744444,0.9737518305099945,1.0585025174129883,True,-0.0004060854809937453,<0,False,False,0.005022713502125464
UIS,1.0200742673903687,1.0681133150220943,2.915949350010317,2.73,2.655,1.0982860075368426,0.35,True,-0.24875451406278826,0.3599826670999893,0.9787363978150294,1.0463155186850048,True,-0.0004060854809937453,<0,False,False,-0.06178924639822381
DAVA,1.0134334100028521,1.0661663248099154,7.04735940699354,6.61,6.29,1.120406900952868,,,-0.39498552847229484,0.7758204147372664,1.0572096320122322,1.051510732930037,True,-0.0004060854809937453,<0,True,True,-0.06408504254331349
BHVN,1.015029117926549,1.0640843100230717,12.960546896081013,12.18,12.1,1.0711195781885134,0.23,True,-0.11615548448415813,0.6962544894817855,1.089258889446654,1.0477455768744934,True,-0.0004060854809937453,<0,True,True,-0.2087186896502291
TXG,0.9949309885279243,1.0611490286275085,22.36902152346788,21.08,20.8,1.0754337270898018,0.47,True,0.6791671331019815,0.7798460984858971,1.092344053299535,1.066755557282049,True,-0.0004060854809937453,<0,True,True,-0.2805572538180807
FLOC,1.0076921890241306,1.0572305884169801,20.943737956540375,19.81,20.53,1.0201528473716694,0.22,True,0.18407994250710114,0.8225975660931609,1.055764988357423,1.0488614813378323,True,-0.0004060854809937453,<0,True,True,-0.09934419099714253
NESR,1.0024757529755486,1.0527288776483767,20.317667338613674,19.3,19.67,1.0329266567673447,0.45,True,0.9991513967417585,0.8398914069095668,1.1159384042563039,1.0500327694444853,True,-0.0004060854809937453,<0,True,True,-0.263714589071705
EFX,1.0059998523866316,1.0520768357943273,215.9703328518595,205.28,204.0,1.0586781022149976,0.03,False,-0.10222887826953564,0.4857575334578012,1.0053712487255844,1.0455698859949556,True,-0.0004060854809937453,<0,False,False,0.012770827299976473
