symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,ma20_T,f10_over_ma20_x,spy_trend_value,spy_trend_bin,rule_4a
SNDX,1.0246779855353896,1.02846656790511,20.435630704274537,19.87,19.82,1.0310610849785335,0.25,True,16.7765,1.218110494100351,-0.005414264391699453,<0%,False
LW,1.0275131381478797,1.0279519672269843,61.27621676640053,59.61,59.06,1.0375248351913398,0.05,False,59.16399999999999,1.035701047366651,-0.005414264391699453,<0%,False
PAR,1.0237859264944749,1.0274338927327555,35.014947064332304,34.08,34.51,1.0146319056601654,0.32,True,35.652,0.9821313548842225,-0.005414264391699453,<0%,False
VERA,1.0227447921199968,1.0262289923219396,34.20421231409025,33.33,33.75,1.0134581426397111,0.28,True,28.326000000000004,1.2075200280339704,-0.005414264391699453,<0%,False
SHOP,1.0254026778297525,1.0258070000470805,163.4520873875018,159.34,158.64,1.0303333799010452,0.41,True,154.7655,1.056127414620841,-0.005414264391699453,<0%,False
AHL,1.0253405742501946,1.0257438831779688,37.921751361089505,36.97,37.05,1.023529051581363,0.25,True,36.866499999999995,1.0286235840421387,-0.005414264391699453,<0%,False
ZM,1.024472479957876,1.0248616376921484,86.5290680703481,84.43,84.96,1.018468315328956,0.03,False,83.0395,1.0420229899065878,-0.005414264391699453,<0%,False
KOP,1.020553292299582,1.0236940064340048,30.321954110105484,29.6201344537815,29.67,1.0219735123055438,0.07,False,28.274762016806726,1.072403512789317,-0.005414264391699453,<0%,False
INSW,1.0221435548532096,1.0224948651877783,54.28425239281917,53.09,52.97,1.0248112590677585,-0.07,False,52.02106470821756,1.0435052165367178,-0.005414264391699453,<0%,False
KO,1.022012386376856,1.022361570180328,74.5097112347423,72.88,73.12,1.019005897630502,0.13,False,70.3955185619652,1.058443957183945,-0.005414264391699453,<0%,False
ARDT,1.019320213570944,1.0222683916005542,9.251528943985017,9.05,8.78,1.0537048911144666,-0.47,False,11.3215,0.8171645933829454,-0.005414264391699453,<0%,False
BMRN,1.0167737824337026,1.019326019229282,56.59298058760973,55.52,55.93,1.0118537562597842,0.22,True,53.925,1.049475764257946,-0.005414264391699453,<0%,False
IMVT,1.016592224170776,1.0191163163507484,24.15305669751274,23.7,24.15,1.0001265713255794,0.44,True,23.558999999999997,1.0252157009004093,-0.005414264391699453,<0%,False
CAL,1.01624596259623,1.0187164099359196,12.020853637243851,11.8,11.71,1.0265459980566911,,,10.762271161048691,1.1169439477375631,-0.005414264391699453,<0%,False
QUAD,1.0159571688100906,1.0183829062439351,5.794598736527991,5.69,5.74,1.0095119750048764,-0.44,False,5.488211267605633,1.055826471318774,-0.005414264391699453,<0%,False
FLOC,1.0158965490591467,1.0183129052441005,17.056741162838684,16.75,16.97,1.0051114415343951,,,16.617928226779252,1.0264059953846894,-0.005414264391699453,<0%,False
ENOV,1.015637544633553,1.018013832723618,30.85599926985286,30.31,30.27,1.0193590772994008,0.26,True,29.790999999999997,1.0357490272180478,-0.005414264391699453,<0%,False
ALK,1.0152096729550493,1.0175198198864344,43.25476754337232,42.51,42.86,1.0092106286367784,0.14,False,41.1,1.052427434145312,-0.005414264391699453,<0%,False
IMCR,1.015149662201122,1.0174505376217473,40.83029007476072,40.13,39.5,1.0336782297407776,0.38,True,35.99575,1.134308635735072,-0.005414264391699453,<0%,False
RCI,1.016457917054967,1.016717548706833,39.804492031872506,39.15,39.12,1.0174972400785407,0.01,False,37.85586058908775,1.0514750269168749,-0.005414264391699453,<0%,False
AMRK,1.014142138302496,1.0162875395596047,27.714161203790415,27.27,28.71,0.9653138698638252,,,25.894695987654313,1.0702640114795539,-0.005414264391699453,<0%,False
IMXI,1.0142242066939808,1.0144480996008816,15.379033189949366,15.16,15.24,1.0091229127263364,,,15.074000000000002,1.0202357164620781,-0.005414264391699453,<0%,False
GDYN,1.010235534119544,1.0117814079844618,8.772144807225283,8.67,8.76,1.001386393518868,-0.04,False,8.577,1.022752105307833,-0.005414264391699453,<0%,False
AHCO,1.0102049713464678,1.011746175642522,9.722880747924634,9.61,9.66,1.0065093941950969,,,9.501000000000001,1.023353409948914,-0.005414264391699453,<0%,False
WMT,1.011130257520153,1.0113049079968193,110.33336546245296,109.1,110.51,0.9984016420455432,0.17,False,103.44918330696535,1.066546510425898,-0.005414264391699453,<0%,False
CON,1.0097239543353536,1.0111917082936823,21.0631232837574,20.83,20.56,1.0244709768364495,,,19.66959018583748,1.0708470834803305,-0.005414264391699453,<0%,False
IDYA,1.0096563699078227,1.0111138102477784,36.27876351169029,35.88,35.62,1.0184942030233095,0.38,True,32.5625,1.114127094408915,-0.005414264391699453,<0%,False
VCEL,1.0092826891298896,1.0106831328945056,40.80127807495119,40.37,40.25,1.0136963496882283,0.53,True,38.99825,1.0462335636842985,-0.005414264391699453,<0%,False
PEP,1.010357271013794,1.0105196659780096,149.53670017142585,147.98,148.74,1.0053563276282496,0.12,False,143.95841309729076,1.038749295398006,-0.005414264391699453,<0%,False
ZTS,1.0089634069615694,1.0103151895467877,129.0071465532293,127.69,128.18,1.0064530079047378,0.28,True,123.2166006302011,1.046994852101194,-0.005414264391699453,<0%,False
DDOG,1.0088361496726037,1.010168547007992,160.01069784606594,158.4,160.01,1.000004361265333,0.16,False,173.244,0.9236146582049938,-0.005414264391699453,<0%,False
KNF,1.008709887341076,1.0100230565028607,74.77200687290679,74.03,74.84,0.9990914868106198,,,69.85949999999998,1.0703198115203632,-0.005414264391699453,<0%,False
KRO,1.0086239011187552,1.0099239787977223,5.150612291868383,5.1,5.07,1.0158998603290696,-0.31,False,4.65560239651416,1.1063256380581077,-0.005414264391699453,<0%,False
MATV,1.0082534496653337,1.009497154882541,12.718782144474442,12.5991262907069,12.49,1.018317225338226,0.03,False,11.999923749007143,1.0599052469418213,-0.005414264391699453,<0%,False
ATR,1.0081000382756014,1.009320412362484,124.96396025459914,123.81,124.75,1.0017151122613157,0.26,True,118.65450000000001,1.0531750608244874,-0.005414264391699453,<0%,False
LFST,1.0078838059953088,1.0090713087790708,6.619507785590704,6.56,6.5,1.0183858131678003,,,6.081499999999999,1.0884662970633405,-0.005414264391699453,<0%,False
AMZN,1.007430628564869,1.0085492922283588,231.1191558070507,229.16,233.22,0.9909920067191952,0.15,False,236.6715,0.976539869849351,-0.005414264391699453,<0%,False
SLGN,1.0073140557443396,1.008415023051327,39.88281416167997,39.55,39.64,1.006125483392532,0.05,False,38.41918133535659,1.0380964084983357,-0.005414264391699453,<0%,False
SPB,1.0070645334629853,1.0081276377206965,60.11465103728513,59.63,59.35,1.0128837579997494,0.45,True,55.24013292344996,1.088242331360609,-0.005414264391699453,<0%,False
DAR,1.0069569755210872,1.0080037653145066,36.892937810510944,36.6,36.61,1.0077284296779827,0.22,True,33.81150000000001,1.091135791387869,-0.005414264391699453,<0%,False
HBM,1.0067662225411622,1.0077840885807767,16.719138029555086,16.59,16.96,0.9857982328747102,-0.23,False,15.833999999999994,1.0559011007676578,-0.005414264391699453,<0%,False
