symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,pct_above_sma200,bb_percent_b,f10_over_ma20_x
AAPL,1.0401627538831186,1.040811,258.48550011110933,248.350000,,,
ACCO,1.0304488310806956,1.035154,4.182021158394312,4.040000,,,
ADV,1.0580508674280868,1.067299,0.8911949810320471,0.835000,,,
AENT,1.0858072595677752,1.087255,8.415352335677213,7.740000,,,
AHCO,1.0703513918310792,1.071521,11.250970936969255,10.500000,,,
AHL,1.0231464427487609,1.023514,38.13613275979746,37.260000,,,
AII,1.0778204071680084,1.079123,20.697587101792035,19.180000,,,
ALAB,1.0331802435422262,1.033712,182.29518658433994,176.350000,,,
ALIT,1.577887243597635,1.592163,2.467853367406867,1.550000,,,
ALK,1.1147269290229542,1.116715,54.562685552610276,48.860000,,,
AMTM,1.0004653172999085,1.000535,35.579017952096,35.560000,,,
AMZN,1.067064568102859,1.068176,250.3163851764258,234.340000,,,
ARCO,1.0055501804614713,1.006384,7.930305550705544,7.880000,,,
ARDT,1.136574486307074,1.138988,9.829467468770337,8.630000,,,
ASIX,1.0169698616641962,1.019553,17.434347867494168,17.100000,,,
ASML,0.9873909679735587,0.987198,1377.1409724052,1395.000000,,,
ATR,1.0714416214306266,1.072631,133.51033416136252,124.470000,,,
AVGO,1.1025397578554015,1.104297,359.4375369041761,325.490000,,,
AVNW,1.1584495406625333,1.161305,25.21192350121427,21.710000,,,
AXON,1.0877028514881593,1.089185,661.4511712909318,607.290000,,,
BA,1.0067706316113199,1.006876,253.13879767781464,251.410000,,,
BHVN,1.0119465086476715,1.013754,13.949259297471468,13.760000,,,
BIIB,1.0252976930280269,1.025700,178.26671255218173,173.800000,,,
BILL,1.0833600391579647,1.084763,50.75606526086887,46.790000,,,
BMRN,1.150351338128184,1.153041,65.93089744607228,57.180000,,,
BRZE,1.2067978952858043,1.210683,31.271931755051504,25.830000,,,
BTM,1.5935398780813828,1.608352,1.897855204679291,1.180000,,,
