symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
GDEV,GDEV Inc.,16.71,14.75,14.57,28.45,-1.2%,-12.8%,92.9%,70.3%
JANX,Janux Therapeutics,23.46,24.21,24.07,38.47,-0.6%,2.6%,58.9%,64.0%
GPCR,Structure Therapeutics Inc.,21.65,22.28,22.16,34.88,-0.6%,2.3%,56.5%,61.1%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,14.70,16.00,15.91,24.16,-0.6%,8.2%,51.0%,64.3%
CMPS,COMPASS Pathways plc,5.04,5.18,5.16,7.59,-0.4%,2.3%,46.6%,50.6%
RARE,ULTRAGENYX PHARMACEUTICAL INC.,28.71,32.04,31.93,45.64,-0.3%,11.2%,42.5%,59.0%
PACS,PACS Group Inc.,11.22,11.25,11.21,16.02,-0.3%,-0.1%,42.5%,42.8%
VERA,Vera Therapeutics Inc.,24.54,24.34,24.28,33.86,-0.3%,-1.1%,39.1%,38.0%
CLDX,Celldex Therapeutics Inc.,24.46,23.00,22.93,31.25,-0.3%,-6.3%,35.8%,27.8%
CRNT,Ceragon Networks Ltd.,2.35,1.99,1.99,2.68,-0.3%,-15.5%,34.4%,13.8%
RCKT,Rocket Pharmaceuticals Inc.,3.03,3.30,3.29,4.43,-0.3%,8.5%,34.3%,46.2%
PMTS,CPI Card Group Inc.,14.81,14.38,14.34,19.24,-0.3%,-3.2%,33.8%,29.9%
IMVT,Immunovant Inc.,15.11,17.23,17.20,22.93,-0.2%,13.8%,33.1%,51.8%
ALIT,Alight Inc.,3.39,3.60,3.59,4.74,-0.3%,5.9%,31.8%,39.9%
FLOC,Flowco,16.09,15.63,15.62,20.14,-0.1%,-2.9%,28.8%,25.2%
SNDX,Syndax Pharmaceuticals Inc.,14.75,17.12,17.10,22.03,-0.1%,15.9%,28.7%,49.3%
ACCO,ACCO Brands Corporation,4.10,4.06,4.05,5.20,-0.1%,-1.1%,28.2%,26.9%
CRNX,CRINETICS PHARMACEUTICALS INC.,34.20,34.79,34.77,43.52,-0.0%,1.7%,25.1%,27.3%
DDI,DoubleDown Interactive Co. Ltd.,9.31,9.58,9.58,11.75,-0.0%,2.9%,22.6%,26.2%
MNKD,MANNKIND CORPORATION,5.39,5.56,5.55,6.80,-0.1%,3.1%,22.3%,26.2%
KELYA,Kelly Services Inc.,13.92,13.92,13.91,16.91,-0.1%,-0.1%,21.5%,21.5%
TEAD,Teads Holding Co.,1.69,1.64,1.63,1.98,-0.1%,-3.3%,21.0%,17.1%
KOP,Koppers Holdings Inc.,28.98,28.96,28.94,34.80,-0.1%,-0.1%,20.2%,20.1%
IDYA,IDEAYA Biosciences Inc.,24.44,27.24,27.26,32.09,0.1%,11.5%,17.8%,31.3%
CPRX,Catalyst Pharmaceuticals Inc.,20.02,20.35,20.36,23.80,0.1%,1.7%,17.0%,18.9%
AENT,Alliance Entertainment Holding Corporation,6.80,5.94,5.94,6.94,-0.0%,-12.7%,17.0%,2.1%
IMCR,Immunocore Holdings plc,33.41,37.30,37.33,43.48,0.1%,11.7%,16.6%,30.1%
CRTO,Criteo S.A.,22.44,23.39,23.41,27.05,0.1%,4.3%,15.7%,20.6%
