symbol,forecast1_T,forecast10_T,consensus1_T,actual1_T
AAPL,239.8784855028335,239.7007579244774,239.8784855028335,247.77
ACCO,3.973330052988604,5.18075792447739,3.973330052988604,3.78
ADBE,360.7664473142906,384.8313137489881,360.7664473142906,335.94
ADV,1.5416941722785122,1.8771546602434883,1.5416941722785122,1.5
AENT,6.769749685218558,7.582664918017175,6.769749685218558,6.37
AHCO,9.15,9.271776241646958,9.15,9.04
AHL,36.88658558052965,37.699977500357136,36.88658558052965,36.7
ALAB,244.37341223172842,243.2804138029555,244.37341223172842,161.55
ALIT,3.2535753635747824,4.488580538404152,3.2535753635747824,3.08
ALK,57.25,57.6717690989032,57.25,49.42
AMRK,23.780089925648646,24.320847684957382,23.780089925648646,27.71
AMTM,24.8422992760333,25.70286668068761,24.8422992760333,23.45
AMZN,226.23861428131235,236.42275944032636,226.23861428131235,216.39
ARCO,6.825,6.931592554086444,6.825,6.96
ARDT,12.855483057517558,14.422748924620242,12.855483057517558,14.29
ASIX,19.48140817697393,21.68683743115189,19.48140817697393,20.51
ASML,735.812014428469,740.5717511626799,735.812014428469,983.18
ATR,132.43553379917168,143.9117967571943,132.43553379917168,129.8
AVGO,302.7226628281164,320.11343562006954,302.7226628281164,344.13
AVNW,21.763916432035618,25.012460159362547,21.763916432035618,22.74
AXON,726.0879001375857,767.9597514325169,726.0879001375857,704.67
BA,221.50341075217116,229.70320796495292,221.50341075217116,214.3
BABA,172.92535934411922,176.08988337486707,172.92535934411922,162.86
BHVN,16.2,17.16316725131347,16.2,16.66
BIIB,142.65676594135584,149.85847216710846,142.65676594135584,145.31
BILL,46.14,46.53876351169029,46.14,49.9
BMRN,53.909241024154475,64.80948211139506,53.909241024154475,52.47
BRZE,27.019692019348728,31.714858811764895,27.019692019348728,25.97
BTM,3.54389439601684,4.541294582625673,3.54389439601684,3.02
BWMX,13.384708495690719,14.858904184060568,13.384708495690719,12.6
CAL,14.914875420033933,15.08392342978683,14.914875420033933,12.95
CBZ,52.64785488319933,63.64856855446739,52.64785488319933,54.39
CCJ,77.18,77.49195576260695,77.18,93.19
CDE,13.610037172492593,13.710612291868383,13.610037172492593,20.99
CG,63.195878443699335,63.52416834653418,63.195878443699335,59.6
CHE,462.2542006456666,490.55927175759115,462.2542006456666,437.13
CHMI,2.88,2.9143550102379328,2.88,2.35
CIVI,34.93512727602385,36.53963135505785,34.93512727602385,28.91
CLDX,23.61,24.611203155505468,23.61,26.47
CLS,200.63,201.7361086331963,200.63,247.75
CMPS,4.715181526903762,7.367081197123856,4.715181526903762,6.84
CON,20.712761314573,22.627400715861654,20.712761314573,20.24
COP,94.76413658953504,100.28445941334263,94.76413658953504,88.17
COUR,11.177282749019213,11.442702794400088,11.177282749019213,10.21
CPRX,20.862926331353375,24.347138577165442,20.862926331353375,20.31
CRM,256.84224470115265,276.97962988682724,256.84224470115265,239.77
CRNT,2.504706792896614,3.0793035824828183,2.504706792896614,2.43
CRNX,34.54945021052845,36.049353184870085,34.54945021052845,44.05
