symbol,actual1_T
AAPL,272.95
ACCO,3.48
ADV,1.2
AENT,6.66
AHCO,9.33
AHL,36.86
AII,24.8
ALAB,144.47
ALIT,2.27
ALK,42.34
AMRK,25.43
AMTM,22.16
AMZN,237.58
ARCO,7.33
ARDT,9.3
ASIX,16.2
ASML,1019.86
ATR,120.2
AVGO,339.98
AVNW,22.02
AXON,557.29
BA,194.58
BHVN,8.08
BIIB,164.73
BILL,50.11
BMRN,54.22
BRZE,28.21
BTM,2.07
BWMX,14.25
CAL,10.92
CBZ,52.0
CCJ,85.98
CDE,15.11
CG,53.41
CHA,15.32
CHE,446.01
CHMI,2.34
CIVI,28.44
CLDX,23.72
CLS,292.75
CMPS,5.29
CON,19.75
COP,89.42
COUR,8.43
CPRX,23.02
CRM,240.43
CRNT,2.12
CRNX,41.43
CRTO,21.55
CSTM,15.65
CTRA,25.84
CVE,17.83
CVNA,318.54
CVS,79.24
CWAN,19.08
CWT,45.79
DAR,34.63
DAVA,6.91
DBRG,9.76
DDI,9.1
DDL,1.7
DDOG,185.97
DHR,221.2
DIS,107.61
DOX,76.91
DUOL,186.54
DVN,35.04
DXCM,59.72
EEFT,70.22
EFX,207.0
ENOV,30.87
ERIE,287.18
EVH,4.16
FANG,144.38
FI,64.53
FINV,6.02
FLOC,16.1715922798553
FSLR,256.59
GDEV,22.0
GDYN,8.27
GE,304.17
GOOGL,278.57
GPCR,35.0
HAL,27.02
HBM,15.86
HLF,9.43
HQY,99.5
HRTG,30.84
HTO,47.44
IBM,304.86
IDYA,31.82
IMCR,35.37
IMVT,22.82
IMXI,15.11
INSW,53.59
ITGR,68.05
JANX,27.46
KELYA,8.72
KINS,14.67
KNF,71.01
KO,71.07
KOP,29.39
KRO,4.82
LFST,6.31
LKQ,31.35
LNTH,53.12
LVO,4.29
LW,57.83
MA,555.57
MANH,177.42
MATV,13.19
MAX,12.77
MD,22.63
MDB,351.14
MDLZ,56.97
MDXG,7.47
META,609.89
MNKD,5.07
MNMD,11.63
MPAA,13.01
MRVL,87.52
MSFT,503.29
MTDR,40.8
MU,236.95
NESR,13.97
NRDS,14.25
NVDA,186.86
NX,13.06
PACS,10.7
PAR,39.08
PEP,145.02
PFE,25.79
PFGC,95.34
PG,147.96
PMTS,13.28
PRCT,30.42
PRU,107.85
QUAD,5.64
RARE,32.9
RCI,38.38
RCKT,3.17
SBUX,85.8124496487119
SHOP,146.34
SLB,36.31
SLGN,38.49
SLP,17.22
SLVM,46.46
SMCI,35.09
SMP,37.8858885941645
SNDX,16.66
SNPS,393.93
SPB,58.41
SPGI,502.96
SPNT,20.07
SPRY,8.41
SSTK,21.0
STZ,129.69
TBLA,4.18
TCOM,74.52
TEAD,0.8385
TNC,73.54
TRVG,3.06
TSLA,401.99
TWLO,123.99
TX,36.32
TXG,16.35
TXO,13.501509705248
UAL,97.17
UBER,91.78
UHS,227.57
UIS,2.68
UPWK,17.05
UTL,47.48
UTZ,10.4
VCEL,39.84
VERA,28.37
W,106.49
WDAY,223.49
WELL,191.07
WMT,102.54
XPO,135.47
ZBH,90.57
ZM,84.04
ZTS,121.16
