symbol,sent,tech,prices,seq20,pstar
AAPL,missing,missing,missing,missing,ok
ACCO,missing,missing,missing,missing,ok
ADEN,missing,missing,missing,missing,missing
ADV,missing,missing,missing,missing,ok
AENT,missing,missing,missing,missing,ok
AHCO,missing,missing,missing,missing,ok
AHL,missing,missing,missing,missing,ok
AII,missing,missing,missing,missing,ok
ALAB,missing,missing,missing,missing,ok
ALIT,missing,missing,missing,missing,ok
ALK,missing,missing,missing,missing,ok
AMRK,missing,missing,missing,missing,ok
AMTM,missing,missing,missing,missing,ok
AMZN,missing,missing,missing,missing,ok
ARCO,missing,missing,missing,missing,ok
ARDT,missing,missing,missing,missing,ok
ARX,missing,missing,missing,missing,missing
ASIX,missing,missing,missing,missing,ok
ASML,missing,missing,missing,missing,ok
ATR,missing,missing,missing,missing,ok
AVGO,missing,missing,missing,missing,ok
AVNW,missing,missing,missing,missing,ok
AXON,missing,missing,missing,missing,ok
BA,missing,missing,missing,missing,ok
BDT,missing,missing,missing,missing,missing
BHVN,missing,missing,missing,missing,ok
BIIB,missing,missing,missing,missing,ok
BILL,missing,missing,missing,missing,ok
BMRN,missing,missing,missing,missing,ok
BRZE,missing,missing,missing,missing,ok
BTM,missing,missing,missing,missing,ok
BWMX,missing,missing,missing,missing,ok
CAL,missing,missing,missing,missing,ok
CBZ,missing,missing,missing,missing,ok
CCJ,missing,missing,missing,missing,ok
CDE,missing,missing,missing,missing,ok
CG,missing,missing,missing,missing,ok
CHA,missing,missing,missing,missing,missing
CHE,missing,missing,missing,missing,ok
CHMI,missing,missing,missing,missing,ok
CIVI,missing,missing,missing,missing,ok
CLDX,missing,missing,missing,missing,ok
CLS,missing,missing,missing,missing,ok
CMPS,missing,missing,missing,missing,ok
CON,missing,missing,missing,missing,ok
COP,missing,missing,missing,missing,ok
COUR,missing,missing,missing,missing,ok
CPRX,missing,missing,missing,missing,ok
CRDB,missing,missing,missing,missing,missing
CRM,missing,missing,missing,missing,ok
CRNT,missing,missing,missing,missing,ok
CRNX,missing,missing,missing,missing,ok
CRTO,missing,missing,missing,missing,ok
CSTM,missing,missing,missing,missing,ok
CTRA,missing,missing,missing,missing,ok
CVE,missing,missing,missing,missing,ok
CVNA,missing,missing,missing,missing,ok
CVS,missing,missing,missing,missing,ok
CWAN,missing,missing,missing,missing,ok
CWT,missing,missing,missing,missing,ok
DAR,missing,missing,missing,missing,ok
DAVA,missing,missing,missing,missing,ok
DBRG,missing,missing,missing,missing,ok
DDI,missing,missing,missing,missing,ok
DDL,missing,missing,missing,missing,ok
DDOG,missing,missing,missing,missing,ok
DHR,missing,missing,missing,missing,ok
DIS,missing,missing,missing,missing,ok
