symbol,name,consensus1_T,forecast1_T,forecast10_T,delta_f10_c1_pct,delta_f10_prev_act_pct
AAPL,Apple Inc.,239.67,240.54,238.65,-0.4%,-0.4%
ACCO,ACCO Brands Corporation,4.06,4.05,5.20,28.2%,28.8%
ADV,Advantage Solutions Inc.,1.78,1.78,2.04,14.6%,14.8%
AENT,Alliance Entertainment Holding Corporation,5.94,5.94,6.94,17.0%,17.3%
AHCO,AdaptHealth Corp,9.52,9.54,10.42,9.4%,9.5%
AHL,Aspen Insurance Holdings Limited,36.63,36.70,37.62,2.7%,2.7%
ALAB,Astera Labs,191.14,191.88,187.24,-2.0%,-2.1%
ALIT,Alight Inc.,3.60,3.59,4.74,31.8%,32.5%
ALK,Alaska Air Group Inc,63.40,63.59,65.38,3.1%,3.2%
AMRK,A-Mark Precious Metals Inc.,23.90,23.93,27.60,15.5%,15.8%
AMTM,Amentum Holdings Inc.,24.25,24.24,24.25,-0.0%,0.0%
AMZN,Amazon.com Inc.,232.45,233.16,240.07,3.3%,3.3%
ARCO,Arcos Dorados Holdings Inc.,7.01,7.02,7.85,12.0%,12.2%
ARDT,Ardent Health Inc.,13.18,13.21,14.69,11.4%,11.7%
ASIX,AdvanSix Inc.,20.67,20.71,22.49,8.8%,9.0%
ASML,ASML Holding N.V.,781.93,784.49,796.29,1.8%,1.9%
ATR,AptarGroup Inc.,136.41,136.25,136.37,-0.0%,0.1%
AVGO,Broadcom Inc.,359.90,360.82,361.53,0.5%,0.5%
AVNW,Aviat Networks Inc.,22.40,22.43,25.38,13.3%,13.6%
AXON,Axon Enterprise Inc.,729.03,728.41,728.88,-0.0%,0.1%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,16.00,15.91,24.16,51.0%,52.2%
BIIB,Biogen Inc.,140.79,141.14,148.52,5.5%,5.6%
BILL,BILL Holdings Inc.,51.56,51.68,52.99,2.8%,2.8%
BRZE,Braze Inc.,31.47,31.51,34.86,10.7%,10.9%
BTM,Bitcoin Depot Inc.,3.54,3.52,3.53,-0.1%,0.3%
BWMX,Betterware de México S.A.P.I. de C.V.,13.72,13.75,14.96,9.0%,9.2%
CAL,Caleres Inc.,15.71,15.74,16.53,5.2%,5.3%
CBZ,CBIZ Inc.,58.10,57.95,58.06,-0.1%,0.2%
CCJ,Cameco Corp,75.89,76.04,78.26,3.1%,3.2%
CDE,Coeur Mining Inc.,14.66,14.72,14.27,-2.7%,-2.7%
CG,Centerra Gold Inc.,63.77,63.98,64.84,1.7%,1.7%
CHE,Chemed Corporation,466.09,467.29,494.90,6.2%,6.3%
CHMI,Cherry Hill Mortgage Investment Corporation,2.90,2.91,3.18,9.4%,9.5%
CIVI,Civitas Resources Inc.,34.42,34.51,36.33,5.6%,5.6%
CLDX,Celldex Therapeutics Inc.,23.00,22.93,31.25,35.8%,36.6%
CLS,CELESTICA INC.,242.61,243.33,238.47,-1.7%,-1.7%
CMPS,COMPASS Pathways plc,5.18,5.16,7.59,46.6%,47.7%
COP,CONOCO PHILLIPS,93.04,93.28,98.89,6.3%,6.4%
COUR,Coursera Inc.,11.26,11.26,11.26,-0.0%,0.0%
