symbol,actual1_T
AAPL,275.92
ACCO,3.35
ADV,0.9103
AENT,6.95
AHCO,9.86
AHL,36.91
AII,20.08
ALAB,147.75
ALIT,2.13
ALK,40.27
AMRK,26.04
AMTM,25.37
AMZN,226.28
ARCO,7.16
ARDT,8.88
ASIX,14.64
ASML,987.82
ATR,121.47
AVGO,377.96
AVNW,21.57
AXON,524.6
BA,179.12
BABA,160.73
BHVN,9.68
BIIB,176.82
BILL,49.35
BMRN,55.5
BRZE,27.39
BTM,1.46
BWMX,14.31
CAL,10.6
CBZ,50.22
CCJ,83.34
CDE,14.88
CG,51.95
CHA,13.31
CHE,436.43
CHMI,2.25
CIVI,28.02
CLDX,26.32
CLS,322.54
CMPS,5.18
CON,20.52
COP,87.56
COUR,7.83
CPRX,23.51
CRM,226.82
CRNT,2.0
CRNX,43.84
CRTO,19.79
CSTM,15.54
CTRA,26.2
CVE,17.87
CVNA,330.9
CVS,77.9
CVX,149.75
CWAN,21.7
CWT,45.39
DAR,33.71
DAVA,6.3
DBRG,9.45
DDI,9.24
DDL,1.75
DDOG,158.44
DHR,226.98
DIS,101.94
DOX,75.37
DUOL,172.47
DVN,35.93
DXCM,62.21
EEFT,72.95
EFX,209.62
ENOV,29.6
ERIE,291.92
EVH,4.27
FANG,147.64
FI,60.67
FINV,4.95
FLOC,16.13
FSLR,259.85
GDEV,20.1969
GDYN,8.38
GE,294.05
GOOGL,318.58
GPCR,35.3
HAL,25.67
HBM,15.71
HLF,11.95
HQY,103.64
HRTG,28.25
HTO,44.98
IBM,304.12
IDYA,34.67
IMCR,38.69
IMVT,23.32
IMXI,15.06
INSW,54.48
ITGR,71.22
JANX,31.53
KELYA,8.41
KINS,14.75
KNF,72.09
KO,72.59
KOP,28.55
KRO,4.66
LFST,6.49
LKQ,29.15
LNTH,56.49
LVO,4.47
LW,56.52
MA,537.85
MANH,171.45
MATV,12.42
MAX,11.74
MD,23.83
MDB,330.63
MDLZ,56.19
MDXG,6.78
META,613.05
MNKD,5.13
MNMD,11.75
MPAA,13.7
MRVL,83.79
MSFT,474.0
MTDR,41.32
MU,223.93
NESR,14.32
NRDS,14.4
NVDA,182.55
NX,12.15
PACS,29.96
PAR,33.02
PEP,145.5
PFE,25.22
PFGC,94.39
PG,146.98
PMTS,12.33
PRCT,30.01
PRU,107.19
QCOM,165.06
QUAD,5.57
RARE,32.78
RCI,38.18
RCKT,3.03
SBUX,83.34
SHOP,155.31
SLB,35.71
SLGN,38.49
SLP,17.18
SLVM,45.81
SMCI,33.32
SMP,37.46
SNDX,19.76
SNPS,404.63
SPB,57.27
SPGI,489.24
SPNT,20.42
SPRY,8.03
SSTK,20.24
STZ,132.11
TBLA,3.96
TCOM,70.19
TEAD,0.5995
TNC,70.77
TRVG,2.8
TSLA,417.78
TWLO,124.39
TX,35.38
TXG,20.13
TXO,12.39
UAL,95.62
UBER,83.69
UHS,236.95
UIS,2.5
UPWK,18.55
UTL,49.3
UTZ,9.22
VCEL,38.88
VERA,29.24
W,105.2
WDAY,226.64
WELL,202.3
WMT,104.06
XOM,115.97
XPO,133.8
ZBH,93.52
ZM,78.6
ZTS,122.87
